company_name,url,ideal_talent_profile,core_values,detailed_description
삼성디스플레이,https://www.samsungdisplay.com/kor/career-info/talented-person.jsp,"창의적이고, 도전적이며, 글로벌 역량을 보유한 전문인재","창의성, 도전, 소통, 글로벌","1. 창의적 인재
기존의 형식에서 벗어나 새로운 생각을 가지고 발상과 인식의 전환을 이끌어 낼 수 있는 창의적인인재, 목표의식과 위기의식을 갖고 끊임없는 창의적인 개선을 통해 위기를 극복해 나갈 수 있는 인재. 바로 삼성디스플레이가 바라는 인재입니다.
2. 글로벌 인재
한국을 넘어 세계로, 글로벌 초일류 기업을 향하여 나가는 삼성디스플레이와 함께할 인재, 뛰어난 외국어 실력과 다양한 문화에 쉽게 적응할 수 있는 인재. 바로 삼성디스플레이가 꿈꾸는 인재입니다.
3. 도전적 인재
어렵고 남들이 기피하는 분야에도 도전하는 개척정신과 변화의 개혁을 선도하려는 강한 모험정신을 가진 인재, 실패를 두려워 하지않는 인재. 바로 삼성디스플레이가 원하는 인재입니다.
4. 전문 인재
한 분야의 전문 지식을 기반으로 다양한 분야의 지식을 창출할 수 있는 인재, 이러한 전문성을 통하여 고객의 Needs를 파악해 끊임없이 기술과 시장의 영역을 넓혀가는 인재. 바로 삼성디스플레이가 꿈꾸는 인재입니다."
삼성전자,https://www.samsungsvc.co.kr/intro/recruitment,도덕적이고 책임감과 도전의식을 갖춘 창조적 인재,"도덕성, 고객지향, 책임감, 진취적 사고","1. 도덕성
정직과 신뢰를 바탕으로 비뚤어진 것은 바로 고치도록 당당히 말하는 용기 있는 사람, 더불어 사는 삶을 실천할 수 있는 따뜻한 사람, 집단과 개인 이기주의를 버리고 서로를 격려하며 이끌어 주는 진정한 동료애를 발휘할 줄 아는 사람을 말합니다.
2. 고객지향
고객 지향적인 사람은 타인을 배려하고 상대방의 입장에서 생각하고 행동하며 조직사회에 대한 봉사정신을 갖고 이를 실천하는 사람, 상대방을 존중하며 스스로를 낮추는 사람, 조직사회의 일원으로 자신의 이익에 앞서 전체를 생각하며 행동하는 사람입니다. 이는 고객과 동료, 사회를 위해 활짝 열린 마음을 갖고 있는 사람입니다.
3. 책임감
책임감을 갖춘 사람은 아무리 어려운 일이라도 신념을 갖고 추진해 나가며, 하는 일에 열정을 다하여 최고의 전문가가 되기 위해 최선을 다하는 사람, 주어진 일은 사명감을 갖고 완벽하게 처리하며, 자신의 능력을 자랑하기 보다는 자발적인 행동으로 실천하는 사람입니다. 이는 현실에 충실하되 안주하지 않고, 자신에 충실하면서 주위와 조화를 이루는 열린 사고를 갖고 있는 사람입니다.
4. 진취적 사고
자기주도적으로 사고하고 창의적 감성과 상상력을 발휘하여 변화를 선도하는 인재를 말합니다. 폭넓은 경험과 학습을 통해 전문성을 키우고, 다양하고 독창적인 발상, 영감, 상상력을 발휘하여 더 나은 세상을 선도하는 사람입니다."
삼성SDS,https://www.samsungcareers.com/subsid/detail/C60,"끊임없는 열정으로 미래에 도전하고, 창의와 혁신으로 세상을 변화시키며, 정직과 바른 행동으로 역할과 책임을 다하는 인재","열정, 창의성, 정직","끊임없는 열정으로 미래에 도전하고, 창의와 혁신으로 세상을 변화시키며, 정직과 바른 행동으로 역할과 책임을 다하는 인재"
삼성SDI,https://www.samsungsdi.co.kr/career/index.html,"끊임없는 열정으로 미래에 도전하고, 창의와 혁신으로 세상을 변화시키며, 정직과 바른 행동으로 역할과 책임을 다하는 인재","열정과 도전, 창의와 혁신, 인간미와 도덕성","끊임없는 열정으로 미래에 도전하고, 창의와 혁신으로 세상을 변화시키며, 정직과 바른 행동으로 역할과 책임을 다하는 인재"
삼성전기,https://www.samsungsem.com/kr/about-us/company/mission-vision.do,창의와 열정으로 미래를 이끌어가는 글로벌 인재,"창의성, 열정, 글로벌, 도전","1. 창의적 사고와 열정을 바탕으로 미래를 개척해 나가는 인재
2. 급변하는 환경 속에서도 도전을 멈추지 않는 인재
3. 끊임없는 혁신과 성장을 통해 새로운 가치를 창출하는 인재
4. 세계 각국의 다양한 문화와 시장에 빠르게 적응하는 인재
5. 글로벌 리더십을 발휘할 수 있는 인재"
삼성물산,https://rnc.samsungcnt.com/careers/personnel/index.html,"‘Open-minded, Creative, Expert, Challenging’정신을 갖춘 인재","Open-minded, Creative, Expert, Challenging","1. 적극적인 자세와 열린 마음을 갖춘 유연한 인재
2. 상상을 현실로 만들어내는 창의적 인재
3. 끊임없이 연구하며 최고를 지향하는 인재
4. 새로운 시도와 경쟁을 즐기는 도전적 인재
"
삼성화재,https://www.samsungfire.co.kr/v2/html/company/08/M_080_020_004.html,"열정적으로 글로벌 시장과 디지털에 도전하며, 규정과 원칙을 준수해 정직하게 행동하고, 팀과 개인의 성장을 위해 자신의 역할과 책임에 최선을 다하는 인재","도전, 정직, 협력","1. 열정적으로 글로벌시장과 디지털에 도전하는 인재
We go global and digital with passion.
2. 규정과 원칙을 준수하며 정직하게 행동하는 인재
We honor rules and act with honesty.
3.팀과 개인의 성장을 위해 자신의 역할과 책임에 최선을 다하는 인재
We do our best in our roles for both teams and individuals."
삼성생명,https://www.samsunglife.com/individual/display/employ/PDK-HRCAI016100M,전문성과 창의성을 바탕으로 미래를 창조하는 글로벌 금융인,"인간미, 도덕성, 고객 섬김, 사회적 책임, 지속적 학습, 전문성, 열정, 변화 대응, 유연한 사고, 글로벌 역량, 다양성 존중, 국제적 소양, 창의적 사고, 도전정신, 자신감, 기업가치 창출, 고객가치 창출","1. 인간미와 도덕성을 바탕으로 고객 섬김을 실천하는 인재
금융인으로서 인간미와 도덕성을 갖추고 타인과 협조할 줄 알며, 신뢰받는 삶의 동반자로서 고객 섬김과 사회적 책임을 다하는 사람
2. 지속적인 학습을 통하여 자기분야 최고의 전문능력을 갖춘 인재
자기분야에서 최고가 되겠다는 확고한 꿈과 열정을 바탕으로 끊임없는 학습과 변화를 추구하여 환경 변화에 대응할 수 있는 전문능력을 갖춘 사람
3. 유연한 사고와 글로벌 역량을 갖춘 인재
유연한 사고와 국제적 소양을 바탕으로 다양성을 존중하며, 직무에 대해 글로벌 역량을 갖추고 세계시장을 무대로 활동하는 사람
4. 창의적 사고와 도전정신으로 미래를 창조해 나가는 인재
21C 변화를 주도하는 자신감과 창의적 사고, 도전정신으로 창조사회의 새로운 기업가치와 고객가치를 창출해 나가는 사람"
삼성증권,https://www.samsungsecurities.co.kr/kor/recruit/rigth_people.do,"성장하는 회사, 행복한 일터를 함께 만들어 갈 인재","내용 중심, 변화 시도, 자기 질문, 완벽함 추구, 배려 소통, 방법 중심, 책임감","성장하는 회사와 행복한 일터를 함께 만들어 가는 인재
형식보다 내용을 더 중요하게 생각하는 인재
작은 것부터 변화를 시도하는 인재
스스로 질문하며 더 나음을 고민하는 인재
무엇이든 제대로 하려 노력하는 인재
권위 없이 소통하며 서로를 배려하는 인재
안 되는 이유 대신 되는 방법을 함께 찾는 인재
가족에게 부끄러운 일은 하지 않는 인재"
삼성바이오로직스,https://samsungbiologics.com/kr/careers/value,사명감을 통해 일의 품격을 높이고 생명의 가치를 실현할 수 있는 글로벌 인재,"사명감, 존중, 소통, 변화, 글로벌","사명감: 일의 품격을 높이며, 생명의 소중함을 깊이 이해하고 실천하는 인재
존중: 고객과 구성원을 존중하고 존엄을 인정하는 인재
소통: 부서 간 원활히 소통하고 협력할 수 있는 인재
변화: 업무 효율을 높이고 자주적이며 능동적으로 행동하는 인재
글로벌: 글로벌 경쟁력을 갖추고 변화에 맞춰 사고할 수 있는 인재"
